               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11829,             0.10538,            0.055931,          0.00019465,           0.0022753,           0.0001319,          2.4635e-05,             0.11137,             0.16307,            0.051563,              0.0005,              0.0005,              0.0955
                   1,             0.11502,             0.10704,            0.048712,          0.00065861,           0.0044226,           0.0003145,          6.6694e-05,             0.11157,             0.16381,            0.050429,             0.00101,             0.00101,             0.09091
                   2,              0.1124,             0.10121,            0.047509,             0.30266,            0.008384,          0.00072383,          0.00022639,             0.11213,             0.22625,            0.050702,           0.0015198,           0.0015198,             0.08632
                   3,             0.10802,            0.097851,            0.046938,              0.9135,            0.018217,            0.015027,           0.0036336,             0.10208,             0.14977,            0.050192,           0.0020295,           0.0020295,             0.08173
                   4,             0.10409,            0.096585,            0.046428,             0.81682,             0.01774,            0.022784,           0.0074469,             0.10155,              0.2074,            0.050176,            0.002539,            0.002539,            0.077139
                   5,              0.1011,            0.095433,            0.045486,             0.42123,            0.032755,            0.010736,           0.0026268,             0.10441,             0.15703,            0.049342,           0.0030481,           0.0030481,            0.072548
                   6,            0.099273,            0.096141,            0.044705,             0.53841,            0.095376,            0.039725,            0.010493,            0.093059,             0.16823,            0.045087,           0.0035568,           0.0035568,            0.067957
                   7,            0.097032,            0.095574,             0.04291,               0.558,            0.083108,             0.04601,            0.013739,            0.090413,             0.14094,            0.043833,           0.0040651,           0.0040651,            0.063365
                   8,            0.095704,            0.094413,            0.041368,             0.45279,             0.10477,            0.048745,            0.014355,            0.089364,             0.13711,            0.043256,           0.0045728,           0.0045728,            0.058773
                   9,            0.094316,            0.093874,            0.040398,             0.36345,             0.12064,            0.063238,            0.020775,            0.086547,             0.13423,             0.04051,           0.0050798,           0.0050798,             0.05418
                  10,            0.093169,            0.093573,             0.03969,             0.46892,             0.12976,            0.070396,             0.02378,             0.08565,             0.12853,             0.04006,           0.0055862,           0.0055862,            0.049586
                  11,            0.091978,            0.093021,            0.038829,             0.46703,              0.1317,            0.067131,            0.024208,            0.086333,             0.14105,            0.040924,           0.0060918,           0.0060918,            0.044992
                  12,            0.090673,            0.093246,             0.03861,             0.31815,             0.12572,            0.070192,            0.027195,            0.086233,             0.13435,            0.040566,           0.0065965,           0.0065965,            0.040397
                  13,            0.088981,            0.092399,            0.037817,             0.59557,             0.13954,            0.090754,            0.035222,            0.081503,             0.13498,            0.039801,           0.0071003,           0.0071003,              0.0358
                  14,             0.08824,             0.09193,              0.0371,             0.38063,             0.15488,            0.089511,             0.03629,            0.081515,             0.13937,            0.039415,           0.0076031,           0.0076031,            0.031203
                  15,            0.087337,            0.090302,            0.036755,             0.21281,             0.17289,            0.094968,            0.038616,            0.080383,              0.1282,            0.040262,           0.0081048,           0.0081048,            0.026605
                  16,            0.086074,            0.090541,            0.036043,             0.22419,             0.16969,             0.10119,            0.040955,            0.080391,             0.12671,            0.037723,           0.0086054,           0.0086054,            0.022005
                  17,            0.085071,             0.09071,            0.035538,             0.32898,             0.16796,             0.10842,            0.041058,            0.080734,             0.13488,              0.0387,           0.0091048,           0.0091048,            0.017405
                  18,            0.084722,            0.088958,            0.034842,             0.31459,             0.16035,              0.1038,            0.042466,            0.081954,             0.12612,            0.037646,           0.0096028,           0.0096028,            0.012803
                  19,            0.083997,            0.089734,            0.034632,              0.3653,             0.18273,               0.139,            0.058997,            0.077408,             0.12216,            0.036003,           0.0099112,           0.0099112,           0.0099112
                  20,             0.08286,            0.088041,            0.033867,             0.29145,             0.19877,             0.14384,            0.061311,            0.076601,             0.12438,            0.035154,           0.0099112,           0.0099112,           0.0099112
