               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1166,              0.1085,            0.055573,          0.00050669,           0.0059229,          0.00027356,          5.5346e-05,             0.11093,             0.16371,            0.051701,             0.00101,             0.00101,             0.09091
                   1,             0.11363,             0.10492,            0.048319,            0.015243,            0.010436,           0.0034889,          0.00082433,             0.10926,             0.15723,            0.050262,           0.0020299,           0.0020299,             0.08173
                   2,             0.10642,             0.09853,            0.047418,            0.015099,            0.042308,            0.010263,           0.0028019,             0.10456,             0.16459,            0.049846,           0.0030497,           0.0030497,             0.07255
                   3,             0.10036,            0.097406,            0.046289,             0.43055,            0.067514,            0.026602,           0.0073766,            0.095599,             0.14017,            0.048036,           0.0040691,           0.0040691,            0.063369
                   4,            0.096797,            0.097681,            0.044239,             0.34722,             0.10041,            0.041588,            0.011231,             0.09081,             0.14445,            0.043597,            0.005088,            0.005088,            0.054188
                   5,            0.093765,            0.095993,            0.041124,             0.23792,            0.080575,            0.033053,             0.00948,            0.095809,             0.15817,            0.045183,           0.0061062,           0.0061062,            0.045006
                   6,             0.09083,             0.09414,            0.039706,             0.35011,             0.11923,            0.056295,            0.018842,            0.090105,             0.13227,            0.040619,           0.0071237,           0.0071237,            0.035824
                   7,            0.089477,            0.094106,            0.038482,             0.13983,             0.10542,            0.039676,            0.010442,            0.094353,             0.14868,            0.047635,           0.0081402,           0.0081402,             0.02664
                   8,            0.086686,            0.091007,            0.037457,             0.38423,             0.15137,            0.092124,            0.034261,            0.082463,             0.13599,             0.03818,           0.0091555,           0.0091555,            0.017456
                   9,            0.084866,            0.090454,             0.03654,             0.32405,             0.19075,             0.10565,            0.041312,            0.079878,             0.12396,            0.038251,             0.00998,             0.00998,             0.00998
                  10,            0.083298,            0.089939,            0.035737,             0.33702,              0.1981,              0.1226,            0.049752,            0.078564,             0.12299,            0.037042,             0.00998,             0.00998,             0.00998
                  11,            0.081289,            0.088526,            0.034385,             0.37082,              0.1968,             0.13886,            0.058484,            0.076978,             0.12717,            0.036377,           0.0099753,           0.0099753,           0.0099753
                  12,            0.080234,            0.087088,            0.033321,             0.37274,             0.20052,             0.15163,            0.064609,            0.075401,              0.1193,            0.034278,           0.0099702,           0.0099702,           0.0099702
                  13,            0.079063,            0.087078,            0.032633,             0.37319,             0.21524,               0.164,            0.071671,            0.073936,             0.12145,             0.03475,           0.0099645,           0.0099645,           0.0099645
                  14,            0.078404,            0.085424,            0.032376,             0.42169,              0.2147,             0.18135,            0.079398,            0.072988,             0.11649,             0.03354,           0.0099584,           0.0099584,           0.0099584
                  15,            0.077698,            0.086639,            0.031746,             0.41792,             0.22499,             0.18576,              0.0826,            0.072734,             0.11892,            0.032889,           0.0099517,           0.0099517,           0.0099517
                  16,            0.077034,            0.084993,            0.031206,             0.42348,             0.24529,             0.19761,            0.088862,            0.071997,             0.11677,            0.032776,           0.0099446,           0.0099446,           0.0099446
                  17,            0.076634,            0.085457,            0.030833,             0.45129,             0.23349,             0.20309,            0.091421,            0.071412,             0.11499,            0.032417,            0.009937,            0.009937,            0.009937
                  18,            0.076022,            0.084346,            0.030175,             0.48064,             0.24631,             0.21339,            0.098179,            0.071075,               0.116,            0.031665,           0.0099289,           0.0099289,           0.0099289
                  19,            0.075329,            0.083627,            0.030062,             0.45712,             0.25137,             0.22119,             0.10425,             0.07064,             0.11376,            0.031859,           0.0099203,           0.0099203,           0.0099203
                  20,            0.074915,            0.082458,            0.029841,             0.49024,             0.25219,             0.23538,             0.11225,            0.069808,             0.11396,            0.031051,           0.0099112,           0.0099112,           0.0099112
                  21,             0.07438,            0.082729,            0.029242,             0.38096,             0.27052,             0.23665,             0.10863,            0.069815,             0.11287,            0.031736,           0.0099017,           0.0099017,           0.0099017
                  22,            0.074269,              0.0837,             0.02919,             0.38481,             0.25591,              0.2397,             0.11391,            0.069346,             0.11281,            0.030703,           0.0098916,           0.0098916,           0.0098916
                  23,              0.0742,            0.083882,            0.028857,             0.33179,             0.26036,             0.24718,             0.11988,            0.069031,             0.11176,            0.030452,           0.0098811,           0.0098811,           0.0098811
                  24,            0.073607,            0.082631,            0.028523,             0.29704,             0.27989,             0.24844,             0.11733,            0.069367,             0.11397,            0.030394,           0.0098701,           0.0098701,           0.0098701
                  25,            0.073486,            0.082382,            0.027961,             0.34213,             0.26529,             0.25246,             0.12303,            0.068786,             0.11254,            0.030177,           0.0098586,           0.0098586,           0.0098586
                  26,            0.073125,            0.081501,            0.028105,             0.37323,             0.27872,             0.26729,             0.13121,            0.067825,             0.11155,            0.029913,           0.0098467,           0.0098467,           0.0098467
                  27,            0.072923,            0.081015,             0.02767,             0.37401,             0.27873,             0.26701,             0.13107,            0.067835,             0.11142,            0.029694,           0.0098342,           0.0098342,           0.0098342
                  28,            0.072599,            0.081578,            0.027512,             0.37898,             0.28037,             0.26765,             0.13119,            0.067867,             0.11179,             0.02971,           0.0098213,           0.0098213,           0.0098213
                  29,            0.072053,            0.081231,             0.02744,             0.36844,             0.30149,             0.27683,             0.13682,            0.067605,             0.10989,            0.029388,           0.0098079,           0.0098079,           0.0098079
                  30,            0.072147,            0.080749,             0.02715,             0.46571,             0.28918,             0.28307,             0.14092,            0.067312,             0.11038,            0.029399,           0.0097941,           0.0097941,           0.0097941
                  31,            0.071882,            0.080456,            0.027046,             0.36307,             0.33286,             0.28998,             0.14415,            0.067084,             0.10961,            0.029118,           0.0097798,           0.0097798,           0.0097798
                  32,            0.071756,            0.080505,            0.026956,             0.33948,             0.33265,             0.28796,             0.14359,             0.06717,              0.1096,            0.029081,            0.009765,            0.009765,            0.009765
                  33,            0.071385,            0.079641,            0.026562,              0.3804,             0.31687,              0.2889,             0.14428,            0.067053,             0.10898,            0.028965,           0.0097497,           0.0097497,           0.0097497
                  34,            0.071132,            0.079492,            0.026412,             0.37272,             0.33477,             0.29915,             0.15009,            0.066644,             0.10883,              0.0289,            0.009734,            0.009734,            0.009734
                  35,            0.071526,            0.081196,            0.026289,              0.3803,             0.32971,             0.30472,             0.15343,            0.066533,             0.10849,            0.028614,           0.0097178,           0.0097178,           0.0097178
                  36,            0.071121,            0.079217,            0.026125,             0.38542,             0.33759,             0.30861,             0.15703,            0.066283,             0.10865,            0.028532,           0.0097011,           0.0097011,           0.0097011
                  37,            0.071093,            0.079729,            0.026119,             0.36314,              0.3592,             0.31678,             0.16081,            0.066052,             0.10882,             0.02834,            0.009684,            0.009684,            0.009684
                  38,            0.070824,              0.0792,            0.025805,             0.36552,             0.34607,             0.31237,             0.15856,             0.06608,             0.10807,            0.028379,           0.0096664,           0.0096664,           0.0096664
                  39,            0.070573,            0.079044,            0.025598,             0.40027,             0.33576,             0.31669,             0.16226,             0.06597,             0.10763,            0.028458,           0.0096484,           0.0096484,           0.0096484
                  40,            0.070641,            0.079994,            0.025718,             0.41999,             0.33413,             0.32089,             0.16348,            0.065873,             0.10806,            0.027944,           0.0096299,           0.0096299,           0.0096299
