               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11775,             0.10461,            0.055152,          0.00042397,           0.0049559,          0.00022546,           4.734e-05,               0.111,             0.16443,            0.051843,             0.00101,             0.00101,             0.09091
                   1,             0.11391,             0.10161,            0.048264,           0.0078394,            0.016668,           0.0040134,          0.00084675,              0.1086,             0.15543,            0.050188,           0.0020299,           0.0020299,             0.08173
                   2,             0.10697,            0.097217,            0.047173,             0.22566,            0.053142,            0.015878,           0.0041621,             0.10094,             0.14616,            0.049372,           0.0030497,           0.0030497,             0.07255
                   3,             0.10149,            0.095932,            0.045949,             0.43699,             0.04713,            0.021637,           0.0058168,             0.10086,             0.15675,            0.048379,           0.0040691,           0.0040691,            0.063369
                   4,            0.097953,            0.096457,            0.043721,             0.54186,            0.095471,            0.038013,            0.011276,            0.093261,             0.13911,            0.043919,            0.005088,            0.005088,            0.054188
                   5,            0.094874,            0.095241,            0.041019,             0.35131,            0.099352,            0.041172,             0.01121,            0.093049,             0.14406,            0.043229,           0.0061062,           0.0061062,            0.045006
                   6,             0.09229,            0.093748,            0.039863,             0.33959,             0.10075,            0.044357,            0.014394,             0.09334,             0.13592,            0.043901,           0.0071237,           0.0071237,            0.035824
                   7,            0.090774,            0.094536,            0.038866,             0.27252,            0.097605,             0.05569,            0.019328,            0.090246,             0.14924,            0.042045,           0.0081402,           0.0081402,             0.02664
                   8,            0.088104,            0.091614,            0.037648,             0.16944,              0.1191,            0.063016,            0.020276,            0.089289,             0.14147,            0.042631,           0.0091555,           0.0091555,            0.017456
                   9,            0.086546,            0.091488,            0.036726,             0.31349,             0.18976,              0.1028,            0.039166,            0.081336,              0.1271,            0.038903,             0.00998,             0.00998,             0.00998
                  10,            0.084706,            0.090617,            0.035563,             0.20199,             0.15667,            0.088635,            0.034005,            0.084436,             0.13638,            0.040368,             0.00998,             0.00998,             0.00998
