               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11793,             0.10507,            0.056064,          0.00011983,           0.0014007,          6.0771e-05,          1.3744e-05,              0.1113,             0.16308,            0.051763,              0.0005,              0.0005,              0.0955
                   1,             0.11478,             0.10709,            0.048728,          0.00073175,           0.0085538,          0.00041327,          8.5119e-05,             0.11194,             0.16096,            0.050497,             0.00101,             0.00101,             0.09091
                   2,             0.11143,             0.10036,            0.047603,             0.31045,            0.017179,           0.0049864,           0.0012098,             0.10715,             0.14877,            0.049896,           0.0015198,           0.0015198,             0.08632
                   3,              0.1059,             0.10008,            0.046869,            0.016366,             0.05422,            0.014349,           0.0039895,             0.10027,             0.14003,            0.049681,           0.0020295,           0.0020295,             0.08173
                   4,             0.10243,            0.098429,            0.046574,             0.42623,            0.055189,             0.03271,           0.0090826,            0.097899,             0.14629,            0.049594,            0.002539,            0.002539,            0.077139
                   5,            0.099882,            0.097876,            0.045935,             0.32983,            0.074778,            0.030055,           0.0085939,            0.095874,             0.13488,            0.048565,           0.0030481,           0.0030481,            0.072548
                   6,            0.098565,            0.098276,            0.045028,             0.33309,            0.048605,            0.020044,           0.0055819,             0.10077,             0.15071,            0.048127,           0.0035568,           0.0035568,            0.067957
                   7,            0.096828,             0.09668,            0.043385,             0.44216,             0.10689,            0.045255,             0.01426,            0.090164,             0.13991,            0.043453,           0.0040651,           0.0040651,            0.063365
                   8,            0.094951,            0.096039,             0.04186,             0.55458,             0.11352,            0.054438,            0.017434,            0.088646,             0.13405,            0.042212,           0.0045728,           0.0045728,            0.058773
                   9,            0.093679,            0.094898,            0.040464,             0.57057,             0.10451,            0.065734,            0.021146,            0.086257,             0.13267,            0.041248,           0.0050798,           0.0050798,             0.05418
                  10,            0.092113,            0.094961,            0.039834,             0.46188,             0.12104,            0.062367,            0.019389,            0.086123,             0.13485,            0.040404,           0.0055862,           0.0055862,            0.049586
                  11,            0.090876,            0.092997,            0.038914,             0.37309,              0.1387,            0.078539,            0.026412,            0.083915,              0.1323,             0.03951,           0.0060918,           0.0060918,            0.044992
                  12,             0.08981,            0.092868,            0.038732,             0.59239,             0.13111,            0.085415,             0.03102,            0.081741,             0.13979,            0.040025,           0.0065965,           0.0065965,            0.040397
                  13,            0.088313,            0.091713,             0.03775,             0.39736,             0.13716,            0.091408,            0.036015,            0.081354,              0.1246,            0.039205,           0.0071003,           0.0071003,              0.0358
                  14,            0.087053,            0.090065,            0.037052,             0.39702,             0.16147,             0.10412,            0.040058,            0.080147,             0.12334,            0.037825,           0.0076031,           0.0076031,            0.031203
                  15,            0.085929,              0.0899,            0.036728,             0.40755,             0.17083,             0.10231,            0.039174,            0.079364,             0.12498,            0.037454,           0.0081048,           0.0081048,            0.026605
                  16,            0.084724,             0.08887,            0.036112,             0.31486,             0.16218,             0.10677,            0.043774,            0.078504,             0.12445,            0.037105,           0.0086054,           0.0086054,            0.022005
                  17,            0.083631,             0.08921,            0.035275,             0.45836,             0.16138,             0.11616,            0.045926,            0.078412,             0.12256,            0.036748,           0.0091048,           0.0091048,            0.017405
                  18,            0.082852,            0.088213,            0.034809,             0.26124,             0.20181,             0.13546,            0.055665,            0.076357,              0.1211,            0.035965,           0.0096028,           0.0096028,            0.012803
                  19,            0.082223,            0.088323,            0.034273,             0.49313,             0.17707,              0.1432,            0.059757,            0.075065,             0.12324,            0.034974,           0.0099112,           0.0099112,           0.0099112
