               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11819,             0.86523,            0.094178,          0.00019873,           0.0022255,          0.00010381,          2.6366e-05,             0.11133,             0.51097,            0.060677,              0.0005,              0.0005,              0.0955
                   1,             0.11441,             0.29381,            0.054189,          0.00049967,           0.0054252,          0.00026633,            5.69e-05,              0.1113,              0.3566,            0.052623,             0.00101,             0.00101,             0.09091
                   2,             0.11417,               0.166,            0.049302,           0.0028883,            0.010147,           0.0015829,          0.00033068,             0.11144,             0.20124,            0.050874,           0.0015198,           0.0015198,             0.08632
                   3,             0.11113,             0.11396,            0.048034,             0.20035,           0.0015287,          0.00028337,          5.8796e-05,               0.115,             0.41487,            0.052021,           0.0020295,           0.0020295,             0.08173
                   4,             0.10582,            0.098161,            0.046942,             0.91694,            0.018025,            0.024879,            0.006631,             0.10042,             0.15257,            0.049951,            0.002539,            0.002539,            0.077139
                   5,             0.10225,            0.097534,            0.046297,             0.22456,            0.049876,             0.01721,           0.0045643,            0.099136,             0.14384,            0.049352,           0.0030481,           0.0030481,            0.072548
                   6,             0.10011,            0.097401,            0.046101,             0.23375,            0.076915,             0.03396,            0.010382,            0.094817,             0.13506,             0.04862,           0.0035568,           0.0035568,            0.067957
                   7,            0.098232,             0.09523,            0.045139,             0.44396,            0.095864,            0.042387,            0.011701,            0.092448,             0.15079,            0.046792,           0.0040651,           0.0040651,            0.063365
                   8,            0.097972,            0.095097,            0.044028,             0.34686,            0.090741,            0.042373,            0.012165,            0.092101,             0.13575,            0.044955,           0.0045728,           0.0045728,            0.058773
                   9,             0.09668,            0.094004,             0.04215,             0.45417,              0.1199,            0.057998,             0.02018,            0.089409,             0.13471,            0.043013,           0.0050798,           0.0050798,             0.05418
                  10,            0.095859,            0.090422,            0.041011,             0.45489,             0.11888,              0.0584,             0.02087,             0.08816,              0.1438,            0.041614,           0.0055862,           0.0055862,            0.049586
                  11,             0.09473,            0.088983,            0.040026,             0.45976,             0.13016,            0.067052,            0.023551,            0.086824,              0.1303,            0.040918,           0.0060918,           0.0060918,            0.044992
                  12,            0.093758,            0.090191,            0.039317,             0.37588,             0.13543,            0.076245,            0.028391,            0.084854,             0.13296,            0.040312,           0.0065965,           0.0065965,            0.040397
