               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11742,             0.10741,            0.056184,          0.00025426,           0.0029721,          0.00013091,          2.5483e-05,             0.11122,             0.16281,            0.051658,              0.0005,              0.0005,              0.0955
                   1,             0.11466,             0.11099,            0.048621,          0.00065998,           0.0077147,          0.00037464,          7.6161e-05,             0.11139,             0.16202,             0.05053,             0.00101,             0.00101,             0.09091
                   2,             0.11281,             0.10306,            0.047576,           0.0039543,           0.0078842,           0.0015317,          0.00035159,             0.11076,             0.16211,            0.049983,           0.0015198,           0.0015198,             0.08632
                   3,             0.10736,            0.098199,             0.04694,            0.023158,            0.053371,            0.017098,           0.0049223,             0.10108,             0.13964,            0.049984,           0.0020295,           0.0020295,             0.08173
                   4,             0.10316,            0.097935,            0.046517,             0.42504,            0.062925,              0.0226,           0.0069462,            0.097516,              0.1433,            0.049382,            0.002539,            0.002539,            0.077139
                   5,             0.10006,             0.09793,            0.046031,             0.43582,            0.082664,            0.035932,            0.010581,             0.09353,             0.15313,             0.04885,           0.0030481,           0.0030481,            0.072548
                   6,            0.098184,            0.096272,            0.044569,             0.54267,            0.090954,             0.04049,            0.012204,            0.091748,             0.13919,            0.045038,           0.0035568,           0.0035568,            0.067957
                   7,            0.096367,            0.094992,            0.042892,             0.45015,             0.10064,            0.049432,            0.017004,             0.09004,             0.13709,            0.044362,           0.0040651,           0.0040651,            0.063365
                   8,            0.094727,            0.095697,            0.041147,             0.46463,             0.10445,            0.057247,            0.018876,            0.087384,             0.13369,            0.042594,           0.0045728,           0.0045728,            0.058773
                   9,            0.093066,            0.094596,            0.040213,             0.57914,            0.098023,            0.064341,            0.022591,            0.085979,             0.13823,            0.041334,           0.0050798,           0.0050798,             0.05418
                  10,             0.09114,            0.093831,            0.039168,             0.48094,              0.1277,            0.076538,            0.026095,            0.084041,             0.12746,             0.04018,           0.0055862,           0.0055862,            0.049586
                  11,            0.090368,            0.093324,            0.038587,              0.3798,             0.14492,            0.087475,             0.03292,            0.081964,             0.13252,            0.039104,           0.0060918,           0.0060918,            0.044992
                  12,            0.088908,            0.092077,            0.037975,             0.47632,             0.14478,            0.083597,             0.03143,            0.082725,             0.13123,            0.039645,           0.0065965,           0.0065965,            0.040397
                  13,            0.087059,            0.091122,            0.037243,             0.37131,             0.12085,             0.06984,            0.027602,            0.086936,               0.131,            0.040125,           0.0071003,           0.0071003,              0.0358
                  14,            0.086295,            0.089601,            0.036715,              0.4099,             0.16511,              0.1061,            0.040539,            0.079076,             0.12381,            0.037692,           0.0076031,           0.0076031,            0.031203
                  15,             0.08507,            0.089447,             0.03598,             0.22087,             0.18042,             0.11165,            0.044051,            0.078773,             0.12318,            0.037434,           0.0081048,           0.0081048,            0.026605
                  16,            0.084088,            0.089502,            0.035613,             0.35267,             0.20295,             0.12256,            0.047428,            0.078365,             0.12209,            0.037907,           0.0086054,           0.0086054,            0.022005
                  17,            0.083738,            0.089264,            0.035085,              0.2421,             0.18378,             0.11727,            0.050062,            0.078821,             0.12692,            0.038699,           0.0091048,           0.0091048,            0.017405
                  18,            0.082631,            0.088597,            0.034261,             0.35535,             0.20081,             0.14206,               0.059,            0.075798,             0.12361,            0.035745,           0.0096028,           0.0096028,            0.012803
                  19,            0.081395,            0.088336,            0.033766,             0.37059,             0.19449,             0.14226,            0.060653,             0.07564,              0.1223,            0.037211,           0.0099112,           0.0099112,           0.0099112
                  20,            0.080814,            0.088146,            0.033214,              0.4137,             0.20924,              0.1607,            0.070426,            0.074727,             0.12382,            0.035079,           0.0099112,           0.0099112,           0.0099112
                  21,            0.079417,            0.086235,            0.032291,             0.40828,             0.22916,             0.17522,            0.077357,            0.073612,             0.11852,            0.035633,           0.0099017,           0.0099017,           0.0099017
                  22,            0.078786,            0.086613,            0.031989,              0.5096,             0.20438,             0.17247,            0.077019,            0.073582,             0.11681,            0.034374,           0.0098916,           0.0098916,           0.0098916
                  23,            0.078017,            0.084876,            0.031286,             0.42165,             0.21562,             0.18348,            0.079445,            0.074069,             0.11648,             0.03338,           0.0098811,           0.0098811,           0.0098811
                  24,            0.077432,            0.085926,               0.031,             0.13503,             0.14114,            0.094244,            0.044427,            0.082335,             0.13393,            0.053017,           0.0098701,           0.0098701,           0.0098701
                  25,            0.077256,            0.084074,            0.030536,             0.41636,               0.239,             0.19666,            0.087564,            0.072629,             0.11507,            0.032956,           0.0098586,           0.0098586,           0.0098586
                  26,            0.076608,            0.085043,            0.030031,             0.36461,             0.24027,             0.21421,             0.09935,             0.07119,             0.11419,            0.032274,           0.0098467,           0.0098467,           0.0098467
                  27,            0.076218,            0.082848,            0.030069,             0.33905,             0.25267,             0.21871,             0.10243,            0.070508,             0.11226,            0.032062,           0.0098342,           0.0098342,           0.0098342
                  28,            0.075763,            0.083875,            0.029512,             0.33236,              0.2659,             0.23173,             0.10938,            0.069931,             0.11291,            0.032217,           0.0098213,           0.0098213,           0.0098213
                  29,            0.075199,            0.083271,            0.029178,             0.28943,             0.27701,             0.23074,             0.10877,            0.069729,             0.11193,            0.031619,           0.0098079,           0.0098079,           0.0098079
                  30,            0.075104,            0.083563,             0.02908,             0.31727,             0.27519,             0.22995,             0.11101,            0.069443,             0.11308,            0.031692,           0.0097941,           0.0097941,           0.0097941
                  31,            0.074766,            0.082922,            0.028732,             0.37104,             0.25382,             0.23962,             0.11584,            0.069163,             0.11163,            0.031309,           0.0097798,           0.0097798,           0.0097798
                  32,            0.074348,            0.082358,            0.028568,             0.32395,              0.2883,             0.25046,             0.12171,            0.069051,             0.11262,            0.031495,            0.009765,            0.009765,            0.009765
                  33,            0.074249,            0.081403,            0.028317,             0.31942,             0.29722,             0.25566,             0.12342,            0.068646,             0.11087,            0.030902,           0.0097497,           0.0097497,           0.0097497
                  34,            0.073694,            0.082424,            0.028191,             0.30488,             0.31682,             0.26661,             0.12815,            0.068508,             0.11025,            0.030233,            0.009734,            0.009734,            0.009734
                  35,             0.07359,            0.081123,            0.028115,             0.32451,              0.3059,             0.26037,             0.12747,            0.067934,             0.11224,            0.031266,           0.0097178,           0.0097178,           0.0097178
                  36,            0.073624,            0.080682,             0.02774,             0.32541,             0.31129,             0.27051,             0.13361,            0.068032,              0.1104,            0.030365,           0.0097011,           0.0097011,           0.0097011
