               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11661,              0.1087,            0.055625,          0.00017397,           0.0020336,          8.8759e-05,          1.7945e-05,              0.1108,             0.16321,            0.051792,             0.00067,             0.00067,             0.09397
                   1,             0.11435,             0.10826,            0.048289,          0.00019465,           0.0022753,          0.00014159,          2.8796e-05,             0.11113,             0.16322,            0.050536,             0.00135,             0.00135,             0.08785
                   2,             0.11199,            0.099403,            0.047598,            0.014767,             0.03619,           0.0090921,           0.0023098,             0.10708,             0.14368,            0.050266,           0.0020298,           0.0020298,             0.08173
                   3,             0.10478,            0.096435,            0.047033,             0.10911,            0.017717,           0.0048999,           0.0010878,             0.10886,             0.14758,            0.050223,           0.0027094,           0.0027094,            0.075609
                   4,             0.10033,            0.096624,            0.046326,            0.025571,            0.058086,            0.018038,           0.0040246,             0.10314,             0.12992,            0.048727,           0.0033887,           0.0033887,            0.069489
                   5,            0.097411,            0.096564,            0.044738,             0.53974,            0.075091,            0.032857,           0.0082183,            0.095972,              0.1436,             0.04522,           0.0040675,           0.0040675,            0.063367
                   6,            0.096022,            0.097082,            0.042399,             0.54916,             0.11841,            0.052047,            0.015692,            0.089172,             0.15154,            0.041735,           0.0047458,           0.0047458,            0.057246
                   7,            0.093753,            0.094808,            0.040572,              0.3345,             0.08785,            0.036285,            0.010966,            0.094401,             0.14275,            0.048364,           0.0054234,           0.0054234,            0.051123
                   8,            0.092514,            0.092606,            0.039677,             0.34766,             0.10439,            0.041909,            0.010577,            0.092621,             0.12974,            0.040556,           0.0061004,           0.0061004,               0.045
                   9,            0.090428,            0.092097,            0.038731,             0.57164,             0.13596,            0.075729,            0.022956,            0.086129,             0.13374,            0.039186,           0.0067764,           0.0067764,            0.038876
                  10,            0.089067,            0.092503,            0.038038,             0.58427,             0.13066,            0.081763,             0.02599,            0.084811,             0.12844,            0.038755,           0.0074516,           0.0074516,            0.032752
                  11,            0.087669,            0.090792,             0.03736,             0.19045,             0.13124,            0.069019,            0.018623,            0.088469,             0.13048,            0.040504,           0.0081257,           0.0081257,            0.026626
                  12,            0.086919,            0.091693,            0.037046,             0.57139,             0.14941,             0.10499,            0.036384,            0.081469,             0.12538,            0.037097,           0.0087987,           0.0087987,            0.020499
                  13,            0.085228,            0.089494,            0.035789,             0.43537,             0.16948,             0.10897,            0.042828,            0.080981,             0.12526,            0.036564,           0.0094704,           0.0094704,             0.01437
                  14,             0.08381,            0.088124,            0.035009,              0.4509,             0.20628,             0.13727,            0.051278,            0.078517,             0.12349,             0.03552,           0.0099517,           0.0099517,           0.0099517
                  15,            0.082565,            0.087549,             0.03403,             0.28427,             0.18967,             0.13883,            0.051137,              0.0785,             0.12072,            0.034402,           0.0099517,           0.0099517,           0.0099517
                  16,            0.080949,            0.086379,            0.033259,             0.38331,             0.19086,             0.14495,            0.062909,            0.076071,             0.12597,            0.035611,           0.0099446,           0.0099446,           0.0099446
                  17,            0.080192,            0.086892,            0.032457,             0.36084,             0.20547,             0.16576,            0.064169,            0.076509,             0.11815,            0.033774,            0.009937,            0.009937,            0.009937
                  18,            0.079128,            0.085817,             0.03211,              0.3432,             0.21563,             0.17891,            0.078162,            0.073786,             0.11784,            0.032785,           0.0099289,           0.0099289,           0.0099289
                  19,             0.07858,            0.084732,            0.031462,             0.34002,             0.23735,             0.19081,            0.088136,            0.072511,             0.11493,            0.033009,           0.0099203,           0.0099203,           0.0099203
                  20,            0.077803,            0.084506,            0.030934,             0.43216,             0.23867,             0.19805,            0.089574,            0.072444,             0.11375,            0.032031,           0.0099112,           0.0099112,           0.0099112
                  21,            0.076941,            0.083155,            0.030615,             0.42593,             0.22124,             0.18359,            0.076832,            0.075018,             0.11574,            0.034333,           0.0099017,           0.0099017,           0.0099017
                  22,            0.076996,            0.083362,             0.03034,             0.45264,             0.23405,             0.20118,            0.091148,            0.073177,             0.11568,            0.033659,           0.0098916,           0.0098916,           0.0098916
                  23,            0.076541,            0.084399,            0.030092,             0.48227,              0.2303,             0.22089,             0.10278,             0.07141,             0.11251,            0.031335,           0.0098811,           0.0098811,           0.0098811
                  24,            0.075894,            0.083619,            0.029685,             0.37383,             0.23833,             0.20299,            0.089378,            0.073006,             0.11395,            0.032236,           0.0098701,           0.0098701,           0.0098701
                  25,            0.075474,            0.081531,            0.029399,              0.4111,             0.23381,             0.22499,             0.10596,            0.071374,             0.11288,            0.031333,           0.0098586,           0.0098586,           0.0098586
                  26,            0.075005,            0.082364,            0.029293,             0.33062,              0.2592,             0.22306,             0.10584,            0.070791,             0.11487,            0.031427,           0.0098467,           0.0098467,           0.0098467
                  27,            0.074711,            0.081895,             0.02888,             0.36724,             0.25577,             0.23798,             0.10374,            0.072045,             0.11307,            0.030564,           0.0098342,           0.0098342,           0.0098342
                  28,            0.074345,            0.081199,            0.028619,             0.43075,             0.26274,             0.25233,             0.11972,            0.069886,              0.1112,            0.030433,           0.0098213,           0.0098213,           0.0098213
                  29,            0.074278,            0.082209,            0.028388,             0.31242,             0.29978,              0.2529,             0.11867,             0.07028,             0.11233,            0.030508,           0.0098079,           0.0098079,           0.0098079
                  30,            0.073893,            0.080925,            0.028435,             0.34449,             0.29553,              0.2597,             0.12941,            0.069017,              0.1119,            0.029896,           0.0097941,           0.0097941,           0.0097941
                  31,            0.074107,            0.081794,            0.027903,             0.35225,             0.26852,              0.2478,             0.11592,            0.070522,             0.11135,            0.030415,           0.0097798,           0.0097798,           0.0097798
