               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1439,              0.1122,            0.056534,             0.61821,             0.01964,           0.0097872,           0.0019623,             0.13164,              0.2412,            0.052635,              0.0005,              0.0005,              0.0955
                   1,             0.12236,             0.14583,            0.044649,             0.24623,             0.12168,            0.050778,            0.016355,             0.11552,             0.28146,            0.043539,             0.00101,             0.00101,             0.09091
                   2,             0.11457,             0.16692,            0.040409,             0.26212,             0.14843,            0.072645,            0.028157,             0.10932,             0.24171,            0.041269,           0.0015198,           0.0015198,             0.08632
                   3,              0.1127,             0.17234,            0.038576,             0.38162,             0.15741,            0.092149,            0.035541,             0.10743,             0.25742,            0.040663,           0.0020295,           0.0020295,             0.08173
                   4,             0.11126,             0.17493,            0.037665,              0.3906,             0.17745,            0.097973,            0.039494,             0.10605,             0.24154,            0.039416,            0.002539,            0.002539,            0.077139
                   5,             0.10998,             0.17502,            0.036425,             0.40179,             0.18334,             0.10487,            0.040401,             0.10531,             0.24065,            0.038616,           0.0030481,           0.0030481,            0.072548
                   6,             0.10882,              0.1738,            0.035905,             0.42229,             0.18977,             0.11904,            0.047351,             0.10519,             0.25341,             0.03837,           0.0035568,           0.0035568,            0.067957
                   7,             0.10859,             0.17536,            0.035057,             0.34047,             0.19347,             0.13202,            0.055979,             0.10277,             0.24072,            0.037394,           0.0040651,           0.0040651,            0.063365
                   8,             0.10714,             0.17296,            0.034325,             0.49063,             0.17813,             0.14442,            0.056218,             0.10272,             0.24175,            0.036815,           0.0045728,           0.0045728,            0.058773
                   9,             0.10651,             0.17425,            0.033619,             0.38119,             0.20397,             0.15081,            0.063642,             0.10193,             0.24381,            0.036661,           0.0050798,           0.0050798,             0.05418
                  10,             0.10604,             0.17481,            0.033087,             0.49602,             0.19916,             0.16503,            0.072566,             0.10157,             0.24184,            0.036283,           0.0055862,           0.0055862,            0.049586
                  11,             0.10511,             0.17349,            0.032478,             0.49062,             0.21835,             0.16902,            0.072357,             0.10142,              0.2428,            0.035738,           0.0060918,           0.0060918,            0.044992
                  12,             0.10448,             0.17375,            0.031908,             0.54036,             0.20141,              0.1789,            0.081286,             0.10035,             0.24081,            0.035251,           0.0065965,           0.0065965,            0.040397
                  13,             0.10409,             0.17176,            0.031579,             0.43884,             0.22692,             0.18434,            0.083366,             0.10013,             0.24179,            0.034835,           0.0071003,           0.0071003,              0.0358
                  14,             0.10397,             0.17297,             0.03147,             0.33238,             0.22022,             0.18952,            0.087625,             0.09965,             0.24005,            0.035421,           0.0076031,           0.0076031,            0.031203
                  15,              0.1034,             0.17303,            0.030998,               0.447,             0.22014,             0.18761,            0.084734,             0.10005,             0.25253,            0.034853,           0.0081048,           0.0081048,            0.026605
                  16,               0.103,             0.17419,            0.030695,             0.36741,             0.23555,             0.18456,             0.08394,            0.099853,             0.24667,            0.035403,           0.0086054,           0.0086054,            0.022005
                  17,             0.10283,             0.17442,            0.030169,             0.34296,             0.26065,             0.20043,            0.093038,            0.099509,              0.2491,            0.035018,           0.0091048,           0.0091048,            0.017405
                  18,             0.10227,             0.17323,            0.030033,             0.31084,             0.24017,             0.20006,            0.089103,            0.099876,             0.25496,            0.035157,           0.0096028,           0.0096028,            0.012803
                  19,             0.10258,             0.17434,            0.029784,             0.30792,             0.23501,             0.20272,            0.091002,            0.099633,             0.24512,            0.035385,           0.0099112,           0.0099112,           0.0099112
                  20,             0.10119,             0.17226,             0.02946,              0.2828,             0.24811,             0.20567,            0.095275,            0.099107,             0.24622,            0.034492,           0.0099112,           0.0099112,           0.0099112
                  21,             0.10069,              0.1725,            0.029046,             0.30158,             0.26096,             0.21334,             0.10026,            0.098808,             0.24135,            0.034655,           0.0099017,           0.0099017,           0.0099017
                  22,             0.10067,             0.17277,            0.028823,             0.28417,             0.27854,             0.22418,             0.10981,            0.097658,             0.24506,            0.034259,           0.0098916,           0.0098916,           0.0098916
                  23,            0.099996,             0.17172,            0.028605,             0.29544,             0.29609,              0.2358,             0.11112,            0.098683,             0.24307,            0.034289,           0.0098811,           0.0098811,           0.0098811
                  24,            0.099907,              0.1711,            0.028246,             0.32985,             0.27223,             0.23738,              0.1139,            0.097581,             0.24328,            0.034395,           0.0098701,           0.0098701,           0.0098701
                  25,             0.09956,             0.17191,            0.027948,             0.31218,             0.28594,             0.24147,              0.1173,            0.097903,             0.24042,            0.033843,           0.0098586,           0.0098586,           0.0098586
                  26,            0.099178,             0.16978,            0.027945,             0.33998,             0.27599,             0.23942,              0.1133,            0.097322,             0.24194,             0.03313,           0.0098467,           0.0098467,           0.0098467
                  27,            0.099085,             0.17239,            0.027818,             0.32035,             0.29154,             0.25111,             0.12355,            0.097027,             0.23984,            0.033216,           0.0098342,           0.0098342,           0.0098342
                  28,            0.098822,             0.16969,            0.027523,             0.37166,             0.26883,             0.25155,             0.11991,            0.096781,             0.24351,            0.032841,           0.0098213,           0.0098213,           0.0098213
                  29,            0.098781,             0.17081,            0.027348,             0.36273,             0.27652,             0.25124,             0.12404,            0.096394,             0.23925,            0.033221,           0.0098079,           0.0098079,           0.0098079
                  30,            0.098663,             0.16971,            0.026953,             0.34136,             0.30179,             0.26124,             0.12912,            0.096424,             0.23926,            0.032764,           0.0097941,           0.0097941,           0.0097941
                  31,            0.098378,             0.16957,            0.026995,              0.3416,             0.29194,             0.25679,             0.12752,            0.096308,             0.23768,            0.033087,           0.0097798,           0.0097798,           0.0097798
                  32,             0.09817,             0.16757,            0.027059,             0.37817,             0.29194,             0.27296,             0.13479,            0.096167,              0.2405,            0.032326,            0.009765,            0.009765,            0.009765
                  33,            0.097769,             0.16843,            0.026802,             0.33103,             0.31483,             0.26746,             0.13173,            0.096304,             0.23945,            0.032257,           0.0097497,           0.0097497,           0.0097497
                  34,            0.098239,             0.17059,            0.026566,             0.39197,             0.27614,             0.26641,             0.13124,            0.096455,              0.2409,            0.032487,            0.009734,            0.009734,            0.009734
                  35,            0.098284,             0.16998,            0.026596,             0.35251,             0.30694,             0.26996,             0.13722,            0.095903,             0.23835,            0.033089,           0.0097178,           0.0097178,           0.0097178
                  36,            0.097784,             0.16911,            0.026394,             0.36182,             0.30146,              0.2731,             0.13803,            0.096023,             0.23964,            0.032791,           0.0097011,           0.0097011,           0.0097011
                  37,            0.097752,             0.16827,            0.026115,             0.40799,              0.2833,             0.27753,             0.14053,            0.095615,             0.23674,              0.0328,            0.009684,            0.009684,            0.009684
                  38,            0.097434,             0.16765,            0.026339,             0.35384,             0.31135,             0.27667,             0.13893,            0.095884,             0.23877,            0.032576,           0.0096664,           0.0096664,           0.0096664
                  39,             0.09754,             0.16699,            0.026075,             0.39864,             0.29004,             0.26991,             0.13827,            0.095586,             0.23813,            0.032568,           0.0096484,           0.0096484,           0.0096484
                  40,            0.097419,             0.16838,            0.025955,             0.35949,              0.3024,             0.27146,             0.13796,            0.095435,             0.23775,            0.032729,           0.0096299,           0.0096299,           0.0096299
                  41,             0.09723,             0.16765,            0.026016,             0.35744,             0.31541,              0.2768,             0.14088,            0.095396,             0.23607,            0.032005,            0.009611,            0.009611,            0.009611
                  42,             0.09714,             0.16672,            0.025727,             0.39876,             0.30643,             0.28859,               0.146,            0.095505,             0.23714,            0.032066,           0.0095916,           0.0095916,           0.0095916
                  43,            0.096854,             0.16707,            0.025738,             0.38428,             0.30844,             0.28428,              0.1451,            0.095271,             0.23848,            0.032183,           0.0095717,           0.0095717,           0.0095717
                  44,            0.096784,             0.16667,            0.025655,             0.41157,             0.30304,             0.28566,             0.14456,            0.095349,             0.23742,            0.031927,           0.0095514,           0.0095514,           0.0095514
                  45,            0.096852,              0.1658,              0.0256,             0.39812,             0.30657,             0.27948,             0.14339,            0.095204,             0.23737,            0.032447,           0.0095307,           0.0095307,           0.0095307
                  46,            0.096336,             0.16577,            0.025398,             0.39741,             0.30511,             0.28186,             0.14417,            0.095025,              0.2365,            0.032379,           0.0095095,           0.0095095,           0.0095095
                  47,            0.096916,              0.1689,             0.02544,             0.41225,             0.29657,             0.28885,             0.14879,            0.095118,             0.23711,            0.031543,           0.0094879,           0.0094879,           0.0094879
                  48,            0.096704,             0.16535,            0.025339,             0.39994,             0.29945,             0.28778,             0.14753,            0.095185,             0.23696,            0.031984,           0.0094659,           0.0094659,           0.0094659
                  49,             0.09664,              0.1672,             0.02543,              0.4104,             0.29886,             0.28613,             0.14745,            0.095001,             0.23647,             0.03161,           0.0094434,           0.0094434,           0.0094434
                  50,            0.096293,              0.1656,            0.025331,             0.37323,             0.32055,             0.28403,             0.14562,            0.095118,             0.23909,            0.031905,           0.0094205,           0.0094205,           0.0094205
                  51,             0.09624,             0.16556,            0.025177,             0.39438,             0.31568,             0.29602,             0.15183,             0.09501,             0.23706,            0.031915,           0.0093971,           0.0093971,           0.0093971
                  52,            0.096477,             0.16739,            0.025286,             0.39756,             0.29879,             0.28226,             0.14369,            0.095125,             0.23757,            0.031974,           0.0093733,           0.0093733,           0.0093733
                  53,            0.096323,             0.16438,            0.025022,              0.3943,             0.31639,              0.2911,             0.14925,            0.094796,             0.23626,            0.031807,           0.0093491,           0.0093491,           0.0093491
                  54,            0.095781,             0.16542,            0.025031,             0.40787,             0.30931,             0.29233,             0.15231,            0.094724,             0.23608,            0.031646,           0.0093245,           0.0093245,           0.0093245
                  55,            0.095845,             0.16478,            0.025066,             0.39194,             0.30733,              0.2844,             0.14658,            0.095118,             0.23781,            0.033221,           0.0092995,           0.0092995,           0.0092995
                  56,            0.095803,              0.1641,            0.024992,             0.41745,             0.29905,             0.29364,             0.15193,             0.09481,             0.23624,            0.031798,            0.009274,            0.009274,            0.009274
                  57,            0.095883,             0.16433,             0.02491,             0.40392,             0.31201,             0.29605,             0.15325,            0.094779,             0.23672,            0.031586,           0.0092481,           0.0092481,           0.0092481
